,,,,,,,,,,UEP,,,,,Foldx Ratio,,,,,Pydock Ratio,,,,,"Consensus of Foldx, Pydock and InterfaceFinder",,,,,BEATMUSIC,,,,,Prodigy,,,,,mCSM unknown,,,,,mCSM known,,,,,UEP unknown,,,,,,,,,,,
1A4Y_YA437F,0.661,0.9994,1.0634,0.74,1.550,0,0,-0.407,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,281,106,175,0.38,0.62,,
1ACB_LI38D,0,0.9339,0.9297,0.42,4.260,-0.3,0,-6.649,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,331,51,280,0.15,0.85,,MCC
1ACB_LI38E,0,0.9301,0.9606,0.62,4.290,-0.1,0,-6.62,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TPR,0.68,0.38,1.76,3.33,0.48,0.255
1ACB_LI38G,0,0.9498,0.8970,0.44,4.200,0.5,0,-5.083,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FNR,0.32,0.62,0.53,,,
1ACB_LI38I,0.001,0.9397,0.9891,0.64,1.060,0,0,-4.796,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1ACB_LI38P,0,0.9391,0.9557,0.44,2.930,0.2,0,-4.881,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,1,UEP,,,,,,
1ACB_LI38S,0,0.9496,0.9173,0.61,3.610,-0.2,0,-3.845,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,P,N,,,,
1AK4_AD88G,0.011,0.9877,0.9571,0.98,2.030,-0.3,0,-2.312,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,612,157,455,0.26,0.63,,
1AK4_AD88V,0.273,0.9812,1.1883,1.04,0.770,0.2,0,-1.828,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,265,97,168,0.37,0.63,,
1AK4_GD89V,0.006,0.9072,1.0482,1.28,1.680,0.1,0,-1.356,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,347,60,287,0.17,0.83,,MCC
1AK4_HD87Q,0.194,1.0039,0.9450,1.31,0.650,0.3,0,-1.815,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TPR,0.62,0.37,1.67,2.76,0.46,0.219
1AK4_HD87R,0.062,1.0069,0.6316,2.82,0.410,-0.1,0,-2.53,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FNR,0.38,0.63,0.61,,,
1B2U_AD36D,1140,0.9298,0.9818,0.57,0.690,-0.5,-0.971,0,0.57,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,,,,,,,
1B3S_AA102H,14600,1.0704,1.0199,0.75,0.760,-0.5,-1.029,0,0.75,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,0,Prodigy,,,,,,
1B3S_FD30Y,0.366,0.9988,0.9986,1.27,-0.120,-0.1,-0.402,0,1.27,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,P,N,,,,
1B41_HB29K,4.48,1.0041,1.0432,2.8,0.320,0,-1.272,0,2.8,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,612,157,455,0.26,0.61,,
1B41_HB29R,2,0.9984,1.0034,5.57,0.040,0,-2.292,0,5.57,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,257,89,168,0.35,0.65,,
1B41_LB35W,0.111,0.9937,1.0487,1.1,0.350,-0.1,0.033,0,1.1,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,355,68,287,0.19,0.81,,MCC
1B41_MB33F,0.269,1.0091,1.2144,2.59,0.850,-0.1,0.308,0,2.59,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TPR,0.57,0.37,1.54,2.24,0.43,0.175
1B41_MB33L,0.047,1.0006,0.9944,3.47,1.070,0.1,-0.466,0,3.47,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FNR,0.43,0.63,0.69,,,
1B41_MB33Q,0.068,0.9828,0.9503,1.2,1.990,-0.9,-1.31,0,1.2,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1B41_MB33Y,0.303,1.0105,1.1355,3.33,0.720,-0.1,0.229,0,3.33,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,1,Foldx,,,,,,
1B41_RB11K,0.348,0.9965,1.0234,0.49,0.110,0.2,-0.017,0,0.49,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,P,N,,,,
1B41_RB27F,0.029,1.0029,1.0928,1.05,-0.370,0.2,-0.384,0,1.05,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,612,157,455,0.26,0.72,,
1B41_RB27M,0.082,1.0026,0.9606,0.42,0.400,0.5,-0.66,0,0.42,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,147,67,80,0.46,0.54,,
1B41_RB27Y,0.018,0.9973,1.0559,0.65,-0.460,0.2,-0.12,0,0.65,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,465,90,375,0.19,0.81,,MCC
1B41_TB8V,0.147,1.0125,1.0344,1.7,0.720,-0.8,-0.471,0,1.7,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TPR,0.43,0.18,2.43,3.49,0.44,0.257
1B41_TB9N,0.002,0.9895,0.9869,0.93,1.330,-0.1,-0.41,0,0.93,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FNR,0.57,0.82,0.70,,,
1B41_VB34T,0.129,0.9872,0.9889,0.67,1.300,-0.3,-1.102,0,0.67,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1BRS_HA100D,0,0.8721,0.9276,0.88,2.520,0.3,0,-4.297,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,0,BeAtMuSiC,,,,,,
1BRS_HA100G,0,0.9230,0.9626,0.89,2.380,1,0,-5.575,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,P,N,,,,
1BRS_HA100L,0,0.9090,0.9933,2.08,1.270,0.7,0,-5.413,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,612,157,455,0.26,0.72,,
1BRS_HA100Q,0,0.8731,0.9802,1.19,2.050,-0.1,0,-4.43,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,98,43,55,0.44,0.56,,
1BRS_RA57K,0.015,0.9676,0.9607,0.54,1.290,0,0,-1.739,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,514,114,400,0.22,0.78,,MCC
1BRS_RA81Q,0,0.9409,0.8835,0.31,0.890,-0.2,0,-2.721,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TPR,0.27,0.12,2.27,2.74,0.34,0.182
1CSE_LI38D,0.001,0.9498,0.9035,0.37,3.070,0.4,0,-3.852,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FNR,0.73,0.88,0.83,,,
1CSE_LI38E,0.018,0.9596,0.9818,0.57,3.420,0.5,0,-3.819,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1CSE_LI38G,0.021,0.9615,0.8553,0.38,3.720,0,0,-2.787,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,0,mCSM_unknown,,,,,,
1CSE_LI38I,0.007,0.9734,1.0297,0.51,1.260,0,0,-2.195,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,P,N,,,,
1CSE_LI38P,0,0.9406,0.9301,0.3,2.560,0,0,-2.343,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,153,58,95,0.38,0.59,,
1CSE_LI38S,0.134,0.9555,0.8660,0.49,3.110,0.8,0,-2.1,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,15,5,10,0.33,0.67,,
1CSO_II13L,1930,1.0032,0.9510,1.66,1.210,-0.4,0,-3.037,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,138,53,85,0.38,0.62,,MCC
1CT0_SI13L,1120,1.0536,1.0619,1.16,1.010,-0.9,-4.138,0,1.16,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,TPR,0.09,0.11,0.82,0.80,0.14,-0.031
1CT2_TI13L,223,1.0231,1.0984,1.45,1.280,-0.7,-3.622,0,1.45,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FNR,0.91,0.89,1.02,,,
